target,kind
-7.60380065290426,2
-7.67778070526608,2
-7.74472749489669,2
-7.744727495,2
-7.86966623150499,2
-7.920818754,2
-8.026872146,3
-8.05207638016827,3
-8.13076828026902,3
-8.301029996,3
-8.33254704711005,3
-8.68613277963085,3
-8.698970004,3
-8.88605664769316,3
-9.0,3
-9.055517328,3
-9.05700040663396,3
-9.214670165,3
-9.283996656,3
-9.301029996,3
-9.301029996,3
-9.35359627377693,3
-9.552841969,3
-9.886056648,3
-9.995678626,3
-10.0,3
-10.0,3
-10.13076828,3
-11.01772877,3
